Year,"Agriculture, forestry & fishing",Mining & quarrying,Manufacturing,"Electricity, gas ,water supply & utility",Construction,"Trade, hotels, transport, communication and services related to broadcasting ","Financial,  real estate  &  professional  services ","Public administration, defence  and Other Services",GVA at Basic Price,GDP 
2011,336108.8379,67872.92466,356022.3076,46302.44103,186776.6357,338657.918,404493.0137,232898.3493,1969132.428,2102862.818
2011,269074.1208,56967.37472,333104.4928,46466.05263,190701.4741,340496.5634,410625.8989,265771.1594,1913207.137,2042870.164
2011,500965.5754,64848.79494,333674.4533,46622.94884,195723.7805,348957.0715,340343.2386,242759.6675,2073895.531,2225135.228
2011,395797.5456,71346.27384,387183.9968,47276.5575,204132.572,385005.5144,375416.4876,284552.6077,2150711.555,2365461.399
2012,341199.1851,70780.17453,358339.6807,48479.91923,189865.8008,374094.9919,442486.8329,249342.586,2074589.171,2205223.441
2012,274362.4647,55618.24085,373953.3322,47289.98333,186137.1545,376920.5939,452821.4266,280805.5369,2047908.733,2195945.875
2012,506048.7582,64858.70115,355777.8855,48003.94487,194069.2482,383184.3196,377983.1247,247602.2179,2177528.2,2344767.213
2012,402678.0968,71351.52644,398803.2082,47861.15256,209977.9034,416943.0261,406740.0905,291895.9863,2246250.99,2467081.867
2013,354449.52,68133.94,383075.9169,49464.09865,198716.4373,388784.2931,494882.784,268722.6042,2206229.594,2347396.371
2013,289365.4713,55660.81198,387587.2748,50076.28589,194457.7755,401894.7553,524246.0245,290608.8061,2193897.205,2357078.866
2013,539360.3342,64419.19034,377185.5845,49637.35919,198469.6844,417976.0997,409823.1533,258069.5412,2314940.947,2497997.343
2013,426023.0684,74892.01693,412859.9953,50423.25627,209126.9829,443406.5233,438454.7361,293392.614,2348579.193,2598897.561
2014,362652.8124,79535.7418,422168.544,53899.6147,209578.9505,432297.6248,540066.6635,276953.8973,2377153.849,2535750.587
2014,299493.8795,57939.66314,423756.92,54880.05047,204911.7921,432834.3349,592769.1797,312769.9953,2379355.815,2562241.584
2014,522894.1505,68662.60692,389832.8586,53220.85147,206558.3682,440657.7049,459477.7031,315706.004,2457010.248,2645947.135
2014,420673.4098,82547.44439,448178.3839,52046.48335,214179.5139,501900.3936,481400.8921,297685.2619,2498611.783,2783733.233
2015,371273.0687,87184.25816,466223.7299,55231.76083,218252.8273,475242.2532,594978.047,291805.2617,2560191.207,2728278.584
2015,307806.1949,63469.33458,472854.5688,57848.30607,205790.4472,467654.9786,669972.5855,332828.2117,2578224.627,2768087.1
2015,511553.11,75874.85283,450360.0024,55199.98093,216448.5781,484331.2039,506287.9353,336948.4179,2637004.081,2836387.393
2015,425513.5587,91445.36459,514411.2862,55877.95217,224843.0783,565595.4654,523545.891,315215.688,2716448.284,3036737.912
2016,389609.6502,93381.80839,512044.7929,62529.07013,234541.3706,520052.5458,675148.7413,311418.3902,2798726.369,2965087.777
2016,326769.1629,67440.70104,508973.8945,62354.64698,222843.9184,503823.2601,745019.2409,354768.8911,2791993.716,3035755.825
2016,549199.104,82751.1557,487552.7616,60850.24723,232427.0672,522805.086,532369.6916,367658.9445,2835614.058,3079621.613
2016,460425.9335,105674.0462,546192.8951,60763.03566,226632.1714,599697.7401,540428.881,362136.0827,2901950.786,3227728.312
2017,411365.6861,95649.46596,507569.4539,69504.42553,234843.7941,561802.9753,715261.8446,356199.1386,2952196.784,3136572.402
2017,346485.9543,75001.86386,548728.8959,69697.78581,226097.8042,544822.4455,766706.9126,385050.4199,2962592.082,3232072.481
2017,577269.9229,86635.00447,532955.8997,66967.99363,243407.653,565596.6098,562903.1678,400441.1538,3036177.405,3314800.889
2017,493207.9359,109209.2441,601537.0501,67934.79503,257659.8225,637635.5291,564147.1632,392119.6054,3123451.145,3491718.521
2018,427176.9475,88633.72334,561875.0528,74998.15252,249912.6625,609330.4353,757849.8779,387589.0835,3157365.935,3359161.845
2018,355283.3809,69723.47529,579648.5266,76567.15316,237907.1169,587337.443,816259.5435,419300.0854,3142026.725,3432552.727
2018,588679.4564,82797.47456,560718.9874,73338.19533,259448.7937,609595.1314,599504.7711,432842.3057,3206925.116,3500033.155
2018,501199.2781,103915.2984,614400.0215,71655.49899,273045.8542,681785.5546,613241.2806,437563.8399,3296806.626,3689674.496
2019,439842.6219,92806.54898,578936.4515,81627.94943,262827.7626,630860.4684,803322.206,417483.0061,3307707.015,3535267
2019,367758.2338,68977.93862,576111.7066,79524.57901,244091.7588,611609.3411,864974.0508,465096.1922,3278143.801,3584335
2019,609883.1958,84610.37982,556493.979,72816.53281,259356.6831,635723.7762,619228.7652,480107.1474,3318220.459,3642748
2019,530625.8218,109285.4335,605738.2589,74863.05538,267000.0391,699751.2815,628154.7513,481630.3796,3397049.021,3803601
2020,454657.9443,71208.92539,351395.5655,75876.68846,130749.5827,334284.3837,760490.8973,374656.1914,2553320.179,2689556.252
2020,380238.6149,62674.27483,579682.8803,83050.88702,223121.2833,516499.9522,794995.2109,408325.721,3048588.824,3314166.594
