Year,"Agriculture, Forestry & Fishing",Mining & Quarrying, Manufacturing,"Electricity, Gas, Water Supply & Utility",Construction,"Trade, Hotels, Transport, Communication & Broadcasting Services","Financial, Real Estate & Professional Services","Public Administration, Defence & Other Services",GVA at Basic Price,GDP 
2011,1501947.322,261035.369,1409985.571,186668,777334.5489,1413116.062,1530877.372,1025981.748,8106945.993,8736328.811
2012,1675106.503,285842.0081,1572836.897,215349.645,849364.8969,1663985.711,1776632.057,1163574.387,9202692.104,9944013.106
2013,1926371.865,295794.3434,1713451.601,260154.6073,921469.9795,1874466.609,2069508.221,1301935.386,10363152.61,11233521.85
2014,2093611.56,308476.0472,1878369.149,282257.7752,979085.8727,2107596.508,2363346.69,1491535.882,11504279.48,12467959.12
2015,2227532.857,294011.1531,2146188.799,334964.6119,991083.6993,2294512.849,2626137.833,1660066.844,12574498.65,13771873.88
2016,2518662.021,326807.912,2333721.355,355709,1080870.099,2539155.855,2911436.64,1898837.308,13965200.19,15391669.02
2017,2796908.144,357787.8634,2546607.623,425101.0001,1197930.832,2812706.363,3206558.646,2169521.546,15513122.02,17098303.77
2018,2922846.456,389322.0314,2766765.975,456413,1344280.084,3142619.902,3622130.216,2495583.932,17139961.6,18971236.9
2019,3257442,393103,2775587,486516,1384895,3316654,3842524,2886518,18343238,20339849
2020,1407820.731,123803.8735,1121676.203,236859.015,469115.31,1127295.886,2083654.462,1275855.906,7846081.386,8530261.048
