Start Year,Quarter,Open Price
2011,1,5720.983236
2011,2,5411.416667
2011,3,5041.283366
2011,4,5079.983236
2012,1,5151.783366
2012,2,5260.350098
2012,3,5730.950033
2012,4,5896.186655
2013,1,5880.751133
2013,2,5690.135797
2013,3,6052.920805
2013,4,6218.653289
2014,1,6904.549466
2014,2,7759.892024
2014,3,8320.496723
2014,4,8691.507726
2015,1,8372.991021
2015,2,8279.865484
2015,3,8000.33301
2015,4,7488.895752
2016,1,7915.695329
2016,2,8607.944488
2016,3,8539.536885
2016,4,8583.251702
2017,1,9393.215798
2017,2,9885.919264
2017,3,10178.53006
2017,4,10664.9324
2018,1,10570.4458
2018,2,11298.86261
2018,3,10793.0427
2018,4,10854.48216
2019,1,11778.20148
2019,2,11257.37793
2019,3,11823.57249
2019,4,11661.13847
2020,1,9328.650059
2020,2,10925.74501
