Start Year,Quarter,Open Price
2011,1,19286.96128
2011,2,18169.59374
2011,3,17512.49416
2011,4,17981.91248
2012,1,17509.82521
2012,2,18161.42504
2012,3,19362.92509
2012,4,19979.78488
2013,1,19984.22256
2013,2,20178.32037
2013,3,21320.77496
2013,4,21873.9094
2014,1,24999.90221
2014,2,26735.06104
2014,3,28550.22089
2014,4,29799.66432
2015,1,28364.35227
2015,2,27714.51749
2015,3,26928.33907
2015,4,25441.64253
2016,1,26695.1711
2016,2,28610.83911
2016,3,27838.64591
2016,4,29544.6709
2017,1,31106.0034
2017,2,32629.83645
2017,3,33830.90563
2017,4,35814.03339
2018,1,35720.8078
2018,2,38533.19747
2018,3,36554.66978
2018,4,36850.48904
2019,1,39986.6044
2019,2,39027.105
2019,3,41014.3894
2019,4,40149.13036
2020,1,34179.76172
2020,2,39288.68721
